a	އަ
acquitted	އެކްވިޓިޑް
acquitting	އެކްވިޓިން
acre	އޭކަ
acreage	އޭކްރިޖް
acreages	އޭކްރިޖިޒް
acred	އޭކަޑް
acree	އެކްރީ
acres	އޭކަޒް
acrey	އެކްރީ
acri	އޮކްރީ
acrid	އެކްރިޑް
acrimonious	އެކްރިމޯނިއަސް
acrimoniously	އެކްރިމޯނިއަސްލީ
acrimony	އެކްރިމޮނީ
acro	އެކްރޯ
acrobat	އެކްރޮބެޓް
acrobatic	އެކްރޮބެޓިކް
acrobatically	އެކްރަބެޓިކްލީ
acrobatics	އެކްރޮބެޓިކްސް
acrobats	އެކްރޮބެޓްސް
acrolein	އެކްރޯލީން
acromegaly	އެކްރޯމްގަލީ
acromion	އެކްރޯމީއަން
acronym	އެކްރޮނިމް
acronyms	އެކްރޮނިމްޒް
acrophobia	އެކްރަފޯބީއަ
acropolis	އެކްރޮޕޮލިޒް
across	އެކްރޮސް
acrostics	އެކްރޮސްޓިކްސް
acrylic	އެކްރިލިކް
acrylics	އެކްރިލިކްސް
act	އެކްޓް
acta	އެކްޓޮ
actava	އެކްޓޮވާ
actavas	އެކްޓޮވަޒް
acted	އެކްޓިޑް
actel	އެކްޓެލް
actigall	އެކްޓިގޯލް
actin	އެކްޓިން
acting	އެކްޓިން
actinic	އެކްޓިނިކް
actinide	އެކްޓިނައިޑް
actinidia	އެކްޓިނިޑީއަ
actinium	އެކްޓިނީއަމް
actinomycosis	އެކްޓިނޯމައިކޯސިސް
action	އެކްޝަން
actionable	އެކްޝަނަބްލް
actions	އެކްޝަންޒް
activase	އެކްޓިވޭޒް
activate	އެކްޓިވޭޓް
activated	އެކްޓިވޭޓިޑް
activates	އެކްޓިވޭޓްސް
activating	އެކްޓިވޭޓިން
activation	އެކްޓިވޭޝަން
activations	އެކްޓިވޭޝަންޒް
activator	އެކްޓިވޭޓޮރ
active	އެކްޓިވް
actively	އެކްޓިވްލީ
actives	އެކްޓިވްޒް
activision	އެކްޓިވިޜަން
activism	އެކްޓިވިޒްމް
activist	އެކްޓިވިސްޓް
activists	އެކްޓިވިސްޓްސް
activities	އެކްޓިވިޓީޒް
activity	އެކްޓިވިޓީ
actmedia	އެކްޓްމީޑީއަ
actodine	އެކްޓޯޑައިން
acton	އެކްޓޮން
actor	އެކްޓޮރ
actors	އެކްޓޮރޒް
actress	އެކްޓްރިސް
actresses	އެކްޓްރަސިޒް
acts	އެކްޓްސް
actual	އެކްޗުއަލް
actualisation	އެކްޗޫއިލައިޒޭޝްން
actualise	އެކްޗޫއަލައިޒް
actualised	އެކްޗޫއިލައިޒްޑް
actualities	އެކްޗޫއެލިޓީޒް
actuality	އެކްޗޫއެލިޓީ
actualize	އެކްޗޫއަލައިޒް
actually	އެކްޗުއަލީ
actuarial	އެކްޗޫއެއަރިއަލް
actuarially	އެކްޗޫއެއަރިއަލީ
actuaries	އެކްޗޫއަރީޒް
actuary	އެކްޗޫއަރީ
actuate	އެކްޗޫއޭޓް
actuated	އެކްޗޫއޭޓިޑް
actuator	އެކްޗޫއޭޓަ
actuators	އެކްޗޫއޭޓަޒް
actus	އެކްޓަސް
acuff	އެކަފް
acuity	އަކިޔުއިޓީ
acumen	އެކިޔުމެން
acuna	އޮކޫނާ
acupressure	އެކަޕްރެޝަރ
acupuncture	އެކިޔުޕަންކްޗަރ
acupuncturist	އެކިޔުޕަންކްޗަރިސްޓް
acura	އެކިޔަރާ
acuras	އެކިޔަރަޒް
acuson	އެކިޔުސޮން
acustar	އެކިޔުސްޓާރ
acusyst	އެކިޔުސިސްޓް
acute	އެކިޔުޓް
acutely	އަކިޔުޓްލީ
acuteness	އަކިޔުޓްނަސް
acuter	އެކިޔުޓަރ
acyclovir	އަކައިކްލަވީއަ
ad	އެޑް
ada	އޭޑާ
adabel	އެޑަބެލް
adabelle	އެޑަބަލް
adachi	އޮޑޮކީ
adage	އެޑިޖް
adages	އެޑިޖިޒް
adagio	އެޑާޖިއައު
adah	އެޑޮ
adair	އެޑެއަރ
adaire	އޮޑެއަރ
adak	އެޑެކް
adalah	އޮޑޮލަ
adalia	އޮޑޮލީއަ
adam	އެޑަމް
adamant	އެޑަމަންޓް
adamantine	އެޑަމާންޓީން
adamantly	އެޑަމަންޓްލީ
adamcik	އޮޑަމްޗިކް
adamczak	އޮޑަމްޗެކް
adamczyk	އޮޑަމްޗިކް
adame	އޮޑޮމީ
adamec	އެޑޮމިކް
adamek	އެޑޮމެކް
adames	އަޑޭމްޒް
adami	އޮޑޮމީ
adamik	އެޑޮމިކް
adamina	އޮޑޮމީނާ
adamkus	އެޑަމްކަސް
adamo	އޮޑޮމޯ
adamowicz	އެޑޮމޮވިޗް
adams	އެޑަމްޒް
adamski	އެޑެމްސްކީ
adamson	އެޑަމްސޮން
adamstown	އެޑަމްސްޓައުން
adan	އޭޑަން
adapso	އެޑެޕްސޯ
adapt	އެޑެޕްޓް
adaptability	އެޑެޕްޓަބިލިޓީ
adaptable	އެޑެޕްޓަބްލް
adaptaplex	އެޑެޕްޓަޕްލެކްސް
adaptation	އެޑަޕްޓޭޝަން
adaptations	އެޑަޕްޓޭޝަންޒް
adaptec	އެޑެޕްޓެކް
adapted	އެޑެޕްޓިޑް
adapter	އެޑެޕްޓަރ
adapters	އެޑެޕްޓަރޒް
adapting	އެޑެޕްޓިން
adaption	އެޑެޕްޝަން
adaptions	އެޑެޕްޝަންޒް
adaptive	އެޑެޕްޓިވް
adaptively	އަޑެޕްޓިވްލީ
adaptor	އެޑާޕްޓޮރ
adaptors	އެޑެޕްޓޮރޒް
adapts	އެޑެޕްޓްސް
adar	އެޑާރ
adarand	އެޑަރެންޑް
adare	އެޑެއަރ
adas	އޭޑަޒް
aday	އެޑޭ
adaza	އެޑޮޒާ
adblock	އެޑްބްލޮކް
adcock	އެޑްކޮކް
adcox	އެޑްކޮކްސް
add	އެޑް
addair	އެޑެއަރ
addams	އެޑަމްޒް
added	އެޑިޑް
addenda	އެޑެންޑާ
addendum	އެޑެންޑަމް
addendums	އެޑެންޑަމްޒް
addeo	އޮޑީއޯ
adder	އެޑަރ
adderley	އެޑާރލީ
adders	އެޑަރޒް
addicks	އެޑިކްސް
addict	އެޑިކްޓް
addicted	އެޑިކްޓިޑް
addicting	އެޑިކްޓިން
addiction	އެޑިކްޝަން
addictions	އެޑިކްޝަންޒް
addictive	އެޑިކްޓިވް
addicts	އެޑިކްޓްސް
addidas	އެޑީޑަސް
addidases	އެޑީޑަސިޒް
addie	އެޑީ
adding	އެޑިން
addington	އެޑިންޓޮން
addis	އޮޑިސް
addison	އެޑިސޮން
addition	އެޑިޝަން
additional	އަޑިޝްނަލް
additionally	އަޑިޝްނަލީ
additions	އެޑިޝަންޒް
additive	އެޑިޓިވް
additives	އެޑިޓިވްޒް
addle	އެޑްލް
addled	އެޑަލްޑް
addleman	އެޑަލްމަން
addles	އެޑަލްޒް
addling	އެޑްލިން
address	އެޑްރެސް
addressable	އެޑްރެސަބްލް
addressed	އަޑްރެސްޓް
addressee	އެޑްރެސީ
addresses	އެޑްރެސިޒް
addressing	އެޑްރެސިން
adds	އެޑްޒް
adduce	އެޑިޔުސް
adduced	އަޑިޔުސްޓް
adduci	އޮޑޫޗީ
adduct	އެޑަކްޓް
adductor	އެޑަކްޓޮރ
addwest	އެޑްވެސްޓް
addy	އެޑީ
addyston	އެޑީސްޓޮން
ade	އޭޑް
adee	އެޑީ
adel	އެޑެލް
adela	އެޑެލާ
adelaar	އެޑަލާރ
adelaide	އެޑަލޭޑް
adelanto	އެޑަލޮންޓޯ
adelbert	އެޑެލްބަރޓް
adele	އެޑެލް
adeline	އެޑަލައިން
adelizzi	އެޑަލީޒީ
adell	އެޑެލް
adelle	އެޑެލް
adelman	އެޑަލްމަން
adelmann	އެޑަލްމަން
adelpha	އެޑެލްފާ
adelphi	އެޑެލްފީ
adelphia	އަޑެލްފީއަ
adelsberger	އެޑިލްޒްބަރގަރ
adelson	އެޑަލްސޮން
adelstein	އެޑަލްސްޓައިން
aden	އޭޑަން
adena	އެޑިނާ
adenauer	އޭޑްނައުއަރ
adenine	އެޑަނީން
adenocarcinoma	އެޑަނޮކާރސިނޯމާ
adenoid	އެޑަނޮއިޑް
adenoidal	އެޑަނޮއިޑަލް
adenoids	އެޑަނޮއިޑްޒް
adenoscan	އެޑެނޮސްކެން
adenosine	އެޑަނޮސައިން
adenovirus	އަޑެނަވައިއައަސް
adept	އެޑެޕްޓް
adeptly	އެޑެޕްޓްލީ
adeptness	އެޑެޕްޓްނަސް
adequacy	އެޑިކްވަސީ
adequate	އެޑިކްވިޓް
adequately	އެޑިކްވަޓްލީ
ader	އޭޑަރ
aderhold	އެޑަރހޯލްޑް
aderholt	އެޑަރހޯލްޓް
aderman	އެޑަރމަން
ades	އޭޑްޒް
adey	އޭޑީ
adger	އެޖަރ
adham	އެޑްހެމް
adhd	އޭޑީއޭޗްޑީ
adhere	އެޑްހިއަރ
adhered	އެޑްހީރަޑް
adherence	އެޑްހީރަރންސް
adherent	އެޑްހީރަރންޓް
adherents	އެޑްހީރަރންޓްސް
adheres	އެޑްހީރަޒް
adhering	އެޑްހީއަރިން
adhesion	އެޑްހީޜަން
adhesive	އެޑްހީސިވް
adhesives	އަޑްހީސިވްޒް
adia	އޮޑީއަ
adiabatic	އޭޑިއަބެޓިކް
adid	އެޑިޑް
adidas	އެޑިޑަސް
adieu	އެޑިޔު
adieux	އެޑިޔުޒް
adin	އެޑިން
adina	އޮޑީނާ
adine	އޮޑީނީ
adinolfi	އޮޑީނޯލްފީ
adios	އޮޑީއޯސް
adipose	އެޑިޕޯޒް
adirondack	އެޑިރޮންޑެކް
adisq	އެޑިސްކް
adits	އެޑިޓްސް
adjacency	އެޖޭސަންސީ
adjacent	އެޖޭސަންޓް
adjani	އެޑްޖޮނީ
adjectival	އެޖިކްޓައިވަލް
adjective	އެޖިކްޓިވް
adjectives	އެޖިކްޓިވްޒް
adjoin	އެޖޮއިން
adjoined	އަޖޮއިންޑް
adjoining	އެޖޮއިނިން
adjoins	އެޖޮއިންޒް
adjourn	އެޖާރން
adjourned	އަޖާންޑް
adjourning	އެޖާރނިން
adjournment	އެޖާރންމަންޓް
adjourns	އެޖާރންޒް
adjudge	އެޖަޖް
adjudged	އަޖަޖްޑް
adjudicate	އެޖޫޑިކޭޓް
adjudicated	އެޖޫޑިކޭޓިޑް
adjudicates	އަޖޫޑިކޭޓްސް
adjudicating	އެޖޫޑިކޭޓިން
adjudication	އެޖޫޑިކޭޝަން
adjudications	އެޖޫޑިކޭޝަންޒް
adjudicator	އެޖޫޑިކޭޓޮރ
adjudicators	އެޖޫޑިކޭޓޮރޒް
adjunct	އެޑްޖަންކްޓް
adjuncts	އެޖަންކްޓްސް
adjust	އެޖަސްޓް
adjustable	އެޖަސްޓަބްލް
adjustables	އެޖަސްޓަބަލްޒް
adjusted	އެޖަސްޓިޑް
adjuster	އެޖަސްޓަރ
adjusters	އެޖަސްޓަރޒް
adjusting	އެޖަސްޓިން
adjustment	އެޖަސްޓްމަންޓް
adjustments	އެޖަސްޓްމަންޓްސް
adjustor	އެޖަސްޓޮރ
adjustors	އެޖަސްޓޮރޒް
adjusts	އެޖަސްޓްސް
adjutant	އެޖޫޓަންޓް
adjuvant	އެޖޫވަންޓް
adkins	އެޑްކިންޒް
adkinson	އެޑްކިންސޮން
adkison	އެޑްކިސޮން
adkisson	އެޑްކިސޮން
adlai	އޮޑްލޮއީ
adler	އެޑްލަރ
adlers	އެޑްލަރޒް
adley	އެޑްލީ
adlon	އެޑްލޮން
adlong	އެޑްލޯން
adman	އެޑްމަން
admen	އެޑްމެން
admin	އެޑްމިން
administer	އެޑްމިނިސްޓަރ
administered	އަޑްމިނިސްޓަޑް
administering	އެޑްމިނިސްޓަރިން
administers	އެޑްމިނިސްޓަރޒް
administrate	އެޑްމިނިސްޓްރޭޓް
administrating	އެޑްމިނިސްޓްރޭޓިން
administration	އެޑްމިނިސްޓްރޭޝަން
administrations	އެޑްމިނިސްޓްރޭޝަންޒް
administrative	އެޑްމިނިސްޓްރަޓިވް
administratively	އަޑްމިނިސްޓްރަޓިވްލީ
administrator	އެޑްމިނިސްޓްރޭޓޮރ
administrators	އެޑްމިނިސްޓްރޭޓޮރޒް
admins	އެޑްމިންޒް
admira	އެޑްމައިއައަ
admirable	އެޑްމިރަބްލް
admirably	އެޑްމިރަބްލީ
admiral	އެޑްމިރަލް
admirals	އެޑްމާރަލްޒް
admiralty	އެޑްމިރަލްޓީ
admiration	އެޑްމިރޭޝަން
admirations	އެޑްމިރޭޝަންޒް
admire	އަޑްމައިއަ
admired	އެޑްމައިރަޑް
admirer	އަޑްމައިއަރަ
admirers	އަޑްމައިއަރަޒް
admires	އެޑްމައިރަޒް
admiring	އަޑްމައިއަރިން
admiringly	އަޑްމައިއަރިންލީ
admissibility	އެޑްމިސިބިލިޓީ
admissible	އެޑްމިސިބްލް
admission	އެޑްމިޝަން
admissions	އެޑްމިޝަންޒް
admit	އެޑްމިޓް
admits	އެޑްމިޓްސް
admittance	އެޑްމިޓަންސް
admitted	އެޑްމިޓިޑް
admittedly	އެޑްމިޓިޑްލީ
admitting	އެޑްމިޓިން
admixture	އެޑްމިކްސްޗަރ
admonish	އެޑްމޮނިޝް
admonished	އަޑްމޮނިޝްޓް
admonishes	އެޑްމޮނިޝިޒް
admonishing	އެޑްމޮނިޝިން
admonishment	އެޑްމޮނިޝްމަންޓް
admonition	އެޑްމޮނިޝަން
admonitions	އެޑްމޮނިޝަންޒް
admonitory	އެޑްމޯނިޓޯރީ
adnan	އެޑްނަން
adney	އެޑްނީ
ado	އެޑޫ
adobe	އަޑޯބީ
adolescence	އެޑޮލެސަންސް
adolescent	އެޑޮލެސަންޓް
adolescents	އެޑޮލެސަންޓްސް
adolf	އޭޑޮލްފް
adolfo	އެޑޮލްފޯ
adolph	އޭޑޯލްފް
adolpha	އޮޑޯލްފާ
adolphson	އެޑޯލްފްސޮން
adolphus	އެޑޯލްފަސް
adon	އޮޑޯން
adonia	އޮޑޯނީއަ
adonis	އެޑޯނިޒް
adonises	އެޑޮނައިޒިޒް
adopt	އެޑޮޕްޓް
adoptable	އެޑޮޕްޓަބްލް
adopted	އެޑޮޕްޓިޑް
adoptee	އެޑޮޕްޓީ
adoptees	އެޑޮޕްޓީޒް
adopter	އެޑޮޕްޓަރ
adopters	އެޑޮޕްޓަރޒް
adopting	އެޑޮޕްޓިން
adoption	އެޑޮޕްޝަން
adoptions	އެޑޮޕްޝަންޒް
adoptive	އެޑޮޕްޓިވް
adopts	އެޑޮޕްޓްސް
ador	އޮޑޯރ
adora	އޮޑޯރާ
adorabelle	އެޑޮރަބަލް
adorable	އެޑޯރަބްލް
adorableness	އެޑޯރަބަލްނަސް
adorably	އެޑޯރަބްލީ
adoration	އެޑޮރޭޝަން
adore	އެޑޯރ
adored	އަޑޯޑް
adoree	އެޑޮރީ
adorees	އެޑޮރީޒް
adorers	އެޑޯރަރޒް
adores	އަޑޯޒް
adoring	އެޑޯރިން
adoringly	އެޑޯރިންލީ
adorn	އެޑޯރން
adorna	އޮޑޯރނާ
adorned	އަޑޯންޑް
adorning	އެޑޯރނިން
adornment	އެޑޯރންމަންޓް
adornments	އެޑޯރންމަންޓްސް
adorno	އޮޑޯރނޯ
adorns	އެޑޯރންޒް
adown	އެޑައުން
adra	އޭޑްރާ
adragna	އޮޑްރޮގްނާ
adrda	އޭޑަޑަ
adrea	އޮޑްރީއަ
adrenal	އެޑްރީނަލް
adrenalin	އެޑްރެނަލިން
adrenaline	އެޑްރެނަލިން
adrenergic	އެޑްރެނެއަރޖިކް
adria	އޮޑްރީއަ
adrian	އޭޑްރިއަން
adriana	އޭޑްރީއެނަ
adriance	އޮޑްރީއަންސް
adriano	އޮޑްރީއޮނޯ
adriatic	އޭޑްރީއެޓިކް
adriel	އެޑްރީލް
adrienne	އޮޑްރީއެން
adrift	އެޑްރިފްޓް
adroit	އެޑްރޮއިޓް
adroitly	އެޑްރޮއިޓްލީ
ads	އެޑްޒް
adsit	އެޑްސިޓް
adsl	އޭޑީއެސެލް
adsorption	އެޑްސޯރޕްޝަން
adss	އެޑްސް
adstar	އެޑްސްޓާރ
adsteam	އެޑްސްޓީމް
adtec	އެޑްޓެކް
adulate	އެޑިޔުލޭޓް
adulated	އެޑިޔުލޭޓިޑް
adulation	އެޑިޔުލޭޝަން
aduliadae	އަޑޫލީއޮޑޭ
adult	އެޑަލްޓް
adulterate	އެޑަލްޓަރޭޓް
adulterated	އެޑަލްޓަރޭޓިޑް
adulterates	އަޑަލްޓައޭޓްސް
adulterating	އެޑަލްޓަރޭޓިން
adulteration	އެޑަލްޓަރޭޝަން
adulterer	އެޑަލްޓަރަރ
adulterers	އެޑަލްޓަރަރޒް
adulteress	އެޑަލްޓަރަސް
adulteresses	އެޑަލްޓަރަސިޒް
adulteries	އެޑަލްޓަރީޒް
adulterous	އެޑަލްޓަރަސް
adultery	އެޑަލްޓަރީ
adulthood	އެޑަލްޓްހުޑް
adults	އެޑަލްޓްސް
adusdur	އެޑަސްޑަރ
advacare	އެޑްވަކެއަރ
advalue	އެޑްވަލޫ
advance	އެޑްވާންސް
advanced	އަޑްވާންސްޓް
advancement	އަޑްވާންސްމަންޓް
advancements	އަޑްވެންސްމަންޓްސް
advancer	އެޑްވެންސަރ
advancers	އެޑްވެންސަރޒް
advances	އެޑްވާންސިޒް
advancing	އެޑްވެންސިން
advani	އެޑްވޮނީ
advanta	އެޑްވެންޓާ
advantage	އެޑްވާންޓިޖް
advantaged	އަޑްވާންޓިޖްޑް
advantageous	އެޑްވަންޓޭޖަސް
advantageously	އެޑްވާންޓޭޖަސްލީ
advantages	އެޑްވާންޓިޖިޒް
advantest	އެޑްވެންޓަސްޓް
advection	އެޑްވެކްޝަން
advent	އެޑްވެންޓް
adventist	އެޑްވެންޓިސްޓް
adventists	އެޑްވެންޓިސްޓްސް
adventitious	އެޑްވިންޓިޝަސް
adventure	އެޑްވެންޗަރ
adventured	އަޑްވެންޗަޑް
adventurer	އެޑްވެންޗަރަރ
adventurers	އެޑްވެންޗަރަރޒް
adventures	އަޑްވެންޗަޒް
adventuresome	އަޑްވެންޗަސަމް
adventuress	އެޑްވެންޗަރެސް
adventuring	އެޑްވެންޗަރިން
adventurism	އެޑްވެންޗަރިޒްމް
adventurist	އެޑްވެންޗަރިސްޓް
adventurists	އެޑްވެންޗަރިސްޓްސް
adventurous	އެޑްވެންޗަރަޒް
adventurously	އެޑްވެންޗަރަސްލީ
adventurousness	އެޑްވެންޗަރަސްނަސް
adverb	އެޑްވާރބް
adverbial	އެޑްވާބީއަލް
adverbs	އެޑްވާރބްޒް
adversarial	އެޑްވަރސެއަރިއަލް
adversaries	އެޑްވަރސަރީޒް
adversary	އެޑްވަރސަރީ
adverse	އެޑްވާރސް
adversely	އެޑްވާސްލީ
adversities	އެޑްވަރސިޓީޒް
adversity	އެޑްވަރސިޓީ
advert	އެޑްވާރޓް
adverted	އެޑްވާރޓިޑް
advertise	އެޑްވަރޓައިޒް
advertised	އެޑްވަޓައިޒްޑް
advertisement	އަޑްވާޓިސްމަންޓް
advertisements	އަޑްވާޓިސްމަންޓްސް
advertiser	އެޑްވަރޓައިޒަރ
advertisers	އެޑްވަރޓައިޒަރޒް
advertises	އެޑްވަރޓައިޒިޒް
advertising	އެޑްވަރޓައިޒިން
advertorial	އެޑްވަޓޯއީއަލް
advertorials	އެޑްވަޓޯއީއަލްޒް
advest	އެޑްވެސްޓް
advice	އެޑްވައިސް
advices	އެޑްވައިސިޒް
advil	އެޑްވިލް
advisability	އެޑްވައިޒަބިލިޓީ
advisable	އެޑްވައިޒަބްލް
advise	އެޑްވައިޒް
advised	އަޑްވައިޒްޑް
advisedly	އެޑްވައިޒިޑްލީ
advisement	އަޑްވައިޒްމަންޓް
adviser	އެޑްވައިޒަރ
advisers	އެޑްވައިޒަރޒް
advises	އެޑްވައިޒިޒް
advising	އެޑްވައިޒިން
advisor	އެޑްވައިޒޮރ
advisories	އެޑްވައިޒޮރީޒް
advisors	އެޑްވައިޒޮރޒް
advisory	އެޑްވައިޒޮރީ
advo	އެޑްވޯ
advocaat	އެޑްވޮކާޓް
advocacy	އެޑްވޮކަސީ
advocate	އެޑްވޮކޭޓް
advocated	އެޑްވޮކޭޓިޑް
advocates	އެޑްވަކަޓްސް
advocating	އެޑްވޮކޭޓިން
advocation	އެޑްވޮކޭޝަން
advocator	އެޑްވޮކޭޓޮރ
adware	އެޑްވެއަ
adweek	އެޑްވީކް
adwell	އެޑްވެލް
adwords	އެޑްވޮރޑްޒް
ady	އޭޑީ
adz	އެޑްޒް
adze	އެޑްޒް
ae	އޭ
aedes	އީޑްޒް
aegean	އިޖީއަން
aegerter	އެގަރޓަރ
aegis	އީޖިސް
aegon	އޭގޮން
aeltus	އެލްޓަސް
aeneas	އެނީއަސް
aeneid	އަނީއިޑް
aeolian	އީއޯލީއަން
aeolipile	އީއަލިޕައިލް
aeolus	އެއޯލުސް
aeon	އީއޮން
aeons	އީއޮންޒް
aequitron	އޭކްވިޓްރޮން
aer	އެއިރ
aerate	އެއިރޭޓް
aerated	އެއިރޭޓިޑް
aerates	އެއަރޭޓްސް
aerating	އެއިރޭޓިން
aeration	އެއިރޭޝަން
aerial	އެއަރިއަލް
aerialist	އެއިރިއަލިސްޓް
aerials	އެއިރިއަލްޒް
aerie	އެއިރީ
aerien	އެއައީއަން
aeriens	އެއައީއަންޒް
aeritalia	އެއިރިޓެލިޔާ
aero	އެއިރޯ
aerobatic	އެއިރޯބެޓިކް
aerobatics	އެއިރޯބެޓިކްސް
aerobic	އެއިރޯބިކް
aerobically	އެއަރޯބިކްލީ
aerobics	އެއިރޯބިކްސް
aerodrome	އެއިރޯޑްރޯމް
aerodromes	އެއަރޯޑްރޯމްޒް
aerodynamic	އެއިރޯޑައިނެމިކް
aerodynamically	އެއަރޯޑައިނެމިކްލީ
aerodynamicist	އެއިރޯޑައިނެމިސިސްޓް
aerodynamicists	އެއިރޯޑައިނެމިސިސްޓްސް
aerodynamics	އެއިރޯޑައިނެމިކްސް
aerodyne	އެއިރޮޑައިން
aeroflot	އެއިރޯފްލޮޓް
aerofoil	އެއިރޯފޮއިލް
aerofoils	އެއިރޯފޮއިލްޒް
aerogenosa	އެއިރޮޖަނޯސާ
aerojet	އެއިރޯޖެޓް
aerojets	އެއިރޯޖެޓްސް
aerolift	އެއިރޯލިފްޓް
aerolifts	އެއިރޯލިފްޓްސް
aerolineas	އެއައޯލިނީއަސް
aeromar	އެއިރޮމާރ
aeromexico	އެއިރޯމެކްސިކޯ
aeronaut	އެއިރޯނޯޓް
aeronautic	އެއިރޯނޯޓިކް
aeronautical	އެއިރޯނޯޓިކަލް
aeronauticas	އެއިރޯނޯޓިކަސް
aeronautics	އެއިރޯނޯޓިކްސް
aeronauts	އެއިރޯނޯޓްސް
aeroperu	އެއައޯޕޭއައޫ
aeroplane	އެއަރަޕްލޭން
aeroplanes	އެއަރަޕްލޭންޒް
aeroquip	އެއިރޮކްވިޕް
aeroscience	އެއައޯސައިއަސް
aerosmith	އެއިރޯސްމިތް
aerosol	އެއަރަސޮލް
aerosols	އެއިރޮސޮލްޒް
aerospace	އެއަރަސްޕޭސް
aerospatiale	އެއައޯސްޕޮސީއޮލް
